Company,DateAdded,DateAddedM,DateAddedD,DateAddedY,ReplacedBy,DateRemoved,DateRemovedM,DateRemovedD,DateRemovedY,DateAcquired,DateAcquiredM,DateAcquiredD,DateAcquiredY,Acquired,DateAbsorbed,DateAbsorbedM,DateAbsorbedD,DateAbsorbedY,AbsorbedBy,DateMerged1,DateMerged1M,DateMerged1D,DateMerged1Y,MergedWith1,MergedWith2,DateMerged2,DateMerged2M,DateMerged2D,DateMerged2Y,DateReorganized,DateReorganizedM,DateReorganizedD,DateReorganizedY,ReorganizedAs,Note,DateNameChange1,DateNameChange1M,DateNameChange1D,DateNameChange1Y,NameChanged1,DateNameChange2,DateNameChange2M,DateNameChange2D,DateNameChange2Y,NameChanged2,DateNameChange3,DateNameChange3M,DateNameChange3D,DateNameChange3Y,NameChanged3,DaysOn
Chrysler Corporation,10$1$1928,10,1,1928,International Business Machines Corporation,6$29$1979,6,29,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18533
Swift & Company,6$1$1959,6,1,1959,"Merck & Co., Inc.",6$29$1979,6,29,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,8$9$1976,8,9,1976,Esmark,,,,,,,,,,,7333
Johns-Manville Corporation,1$29$1930,1,29,1930,American Express Company,8$30$1982,8,30,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19206
Postum Incorporated,10$1$1928,10,1,1928,Philip Morris Companies Inc.,10$30$1985,10,30,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,9$14$1929,9,14,1929,General Foods Corporation,,,,,,,,,,,20848
American Tobacco Company (B shares),5$26$1932,5,26,1932,McDonald's Corporation,10$30$1985,10,30,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19515
"International Nickel Company, Ltd.",10$1$1928,10,1,1928,The Boeing Company,3$12$1987,3,12,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,8$9$1976,8,9,1976,Inco,,,,,,,,,,,21346
"Owens-Illinois, Inc.",6$1$1959,6,1,1959,The Coca-Cola Company,3$12$1987,3,12,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10146
United States Steel Corporation,4$1$1901,4,1,1901,The Walt Disney Company,5$6$1991,5,6,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,3$12$1987,3,12,1987,USX Corporation,,,,,,,,,,,32907
American Can Company,10$4$1916,10,4,1916,Caterpillar Inc.,5$6$1991,5,6,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27242
International Harvester Company,8$31$1925,8,31,1925,J.P. Morgan & Company,5$6$1991,5,6,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,3$12$1987,3,12,1987,Navistar International Corporation,,,,,,,,,,,23989
F. W. Woolworth Company,5$12$1924,5,12,1924,"Wal-Mart Stores, Inc.",3$17$1997,3,17,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26607
The Texas Company,8$31$1925,8,31,1925,Johnson & Johnson,3$17$1997,3,17,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,6$1$1959,6,1,1959,Texaco Incorporated,,,,,,,,,,,26131
Bethlehem Steel Corporation,10$1$1928,10,1,1928,Hewlett-Packard Company,3$17$1997,3,17,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25004
Westinghouse Electric Corporation,10$1$1928,10,1,1928,Travelers Inc.,3$17$1997,3,17,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25004
Sears Roebuck & Company,1$22$1924,1,22,1924,Microsoft Corporation,11$1$1999,11,1,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27677
Union Carbide Corporation,10$1$1928,10,1,1928,SBC Communications Inc.,11$1$1999,11,1,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25963
Goodyear Tire and Rubber Company,7$18$1930,7,18,1930,Intel Corporation,11$1$1999,11,1,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25308
Standard Oil Co. of California,7$18$1930,7,18,1930,"The Home Depot, Inc.",11$1$1999,11,1,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,10$30$1985,10,30,1985,Chevron Corporation,,,,,,,,,,,25308
Eastman Kodak Company,7$18$1930,7,18,1930,Pfizer Inc.,4$8$2004,4,8,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26928
American Telephone and Telegraph Company,3$4$1939,3,4,1939,American International Group Inc.,4$8$2004,4,8,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,5$6$1991,5,6,1991,AT&T Corporation,,,,,,,,,,,23777
International Paper Company,7$3$1956,7,3,1956,Verizon Communications Inc.,4$8$2004,4,8,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17446
Allied Chemical and Dye Corporation,12$7$1925,12,7,1925,Chevron Corporation,2$19$2008,2,19,2008,,,,,,,,,,,10$30$1985,10,30,1985,Signal Corp,Honeywell International,1$27$2003,1,27,2003,,,,,,,6$1$1959,6,1,1959,Allied Chemical Corporation,10$30$1985,10,30,1985,Allied-Signal Incorporated,1$27$2003,1,27,2003,Honeywell International,30024
Philip Morris Companies Inc.,10$30$1985,10,30,1985,Bank of America Corporation,2$19$2008,2,19,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,1$27$2003,1,27,2003,"Altria Group, Incorporated",,,,,,,,,,,8147
American International Group Inc.,4$8$2004,4,8,2004,Kraft Foods Inc,9$22$2008,9,22,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1628
General Motors Corporation,8$31$1925,8,31,1925,"The Travelers Companies, Inc.",6$8$2009,6,8,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30597
Travelers Inc.,3$17$1997,3,17,1997,"Cisco Systems, Inc.",6$8$2009,6,8,2009,,,,,,,,,,,11$1$1999,11,1,1999,Citicorp,,,,,,,,,,,,11$1$1999,11,1,1999,Citigroup Inc.,,,,,,,,,,,4466
