Company,DateAdded,DateAddedM,DateAddedD,DateAddedY,ReplacedBy,DateRemoved,DateRemovedM,DateRemovedD,DateRemovedY,DateAcquired,DateAcquiredM,DateAcquiredD,DateAcquiredY,Acquired,DateAbsorbed,DateAbsorbedM,DateAbsorbedD,DateAbsorbedY,AbsorbedBy,DateMerged1,DateMerged1M,DateMerged1D,DateMerged1Y,MergedWith1,MergedWith2,DateMerged2,DateMerged2M,DateMerged2D,DateMerged2Y,DateReorganized,DateReorganizedM,DateReorganizedD,DateReorganizedY,ReorganizedAs,Note,DateNameChange1,DateNameChange1M,DateNameChange1D,DateNameChange1Y,NameChanged1,DateNameChange2,DateNameChange2M,DateNameChange2D,DateNameChange2Y,NameChanged2,DateNameChange3,DateNameChange3M,DateNameChange3D,DateNameChange3Y,NameChanged3
E.I. du Pont de Nemours & Company,1$22$1924,1,22,1924,Kennecott Mines Company,8$31$1925,8,31,1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard Oil Co. (California),2$6$1924,2,6,1924,The Texas Company,8$31$1925,8,31,1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westinghouse Electric Corporation,10$4$1916,10,4,1916,Paramount Famous Lasky Corporation,12$7$1925,12,7,1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mack Trucks, Inc",1$22$1924,1,22,1924,"Mack Trucks, Inc. (stock dividend)",12$7$1925,12,7,1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States Realty and Construction Company,8$31$1925,8,31,1925,Allied Chemical and Dye Corporation,12$7$1925,12,7,1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mack Trucks, Inc. (stock dividend)",12$7$1925,12,7,1925,"Mack Trucks, Inc. (ex-stock dividend)",12$31$1925,12,31,1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kennecott Mines Company,8$31$1925,8,31,1925,Remington Typewriter Company,12$31$1925,12,31,1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remington Typewriter Company,12$31$1925,12,31,1925,United Drug Stores,3$16$1927,3,16,1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States Rubber Company,9$1$1898,9,1,1898,B.F. Goodrich Corporation,10$1$1928,10,1,1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Car and Foundry Company,7$1$1901,7,1,1901,Atlantic Refining Company,10$1$1928,10,1,1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Locomotive Company,10$4$1916,10,4,1916,Bethlehem Steel Corporation,10$1$1928,10,1,1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Telephone and Telegraph Company,10$4$1916,10,4,1916,Chrysler Corporation,10$1$1928,10,1,1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Union Company,10$4$1916,10,4,1916,"International Nickel Company, Ltd.",10$1$1928,10,1,1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
